lngSpeciesSurveyId,lngCensusId,strColonyCode,dtmSurveyDate,intSurveyYear,strAOUCode,strWhatCounted,strEstimateType,intActualBirdCount,intNumberOfNests,intNumberOfEmptyNests,intEstimatedBreedingPopulation,strEstimatedBreedingPopulation,strAbundance,strDataQuality,memSpeciesNotes,strConversionFactor,strPhotoInterpreters,strDataEntryClerk,dtmDataEntryDate,lngPhotosID,lngQuickSurveyID
126,755,219-026.1,7/7/1988,1988,BLOY,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
127,756,219-024,7/7/1988,1988,PIGU,B,W,4,,,4,4,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
128,756,219-024,7/7/1988,1988,BLOY,B,W,3,,,3,3,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
129,756,219-025,7/7/1988,1988,BLOY,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
130,757,219-025,7/7/1988,1988,PIGU,B,W,24,,,24,24,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
131,782,219-025.1,7/23/1988,1988,PIGU,B,W,6,,,6,6,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
132,782,219-025.2,7/23/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,12/4/2000,,
133,782,219-025.2,7/23/1988,1988,PIGU,B,W,6,,,6,6,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
134,782,219-025.3,7/23/1988,1988,PIGU,B,W,9,,,9,9,Present,3,,L,NA,Betty L. Depee,12/4/2000,,
135,676,219-050,5/31/1988,1988,TUPU,B,W,4,,,4,4,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
136,680,219-044,6/4/1988,1988,BRAC,N,W,,144,,288,288,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
137,680,219-044,6/4/1988,1988,WGGU,N,W,,8,,16,16,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
138,680,219-044,6/4/1988,1988,COMU,B,W,5940,,,9920,9920,Present,2,,1.67,Unknown,Betty L. Depee,12/5/2000,,
139,680,219-044,6/4/1988,1988,BLOY,B,W,2,,,,X,Present,3,,L,Unknown,Betty L. Depee,12/5/2000,,
140,680,219-059,6/4/1988,1988,WGGU,N,W,,44,,88,88,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
141,680,219-038,6/4/1988,1988,DCCO,N,W,,178,,356,356,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
142,680,219-061,6/4/1988,1988,BRAC,N,W,,166,,332,332,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,124,
143,680,219-042,6/4/1988,1988,BRAC,N,W,,13,,26,26,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
144,680,219-042,6/4/1988,1988,WGGU,N,W,,11,,22,22,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
145,680,219-057,6/4/1988,1988,WGGU,N,W,,43,,86,86,Present,1,Steller sea lion haulout and pupping area.,2,Unknown,Betty L. Depee,12/5/2000,,
146,680,219-060,6/4/1988,1988,BRAC,N,W,,307,,614,614,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
147,680,219-060,6/4/1988,1988,WGGU,N,W,,24,,48,48,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
148,680,219-060,6/4/1988,1988,COMU,B,W,1473,,,2460,2460,Present,2,,1.67,Unknown,Betty L. Depee,12/5/2000,,
149,680,219-054,6/4/1988,1988,DCCO,N,W,,470,,940,940,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
150,680,219-054,6/4/1988,1988,BRAC,N,W,,62,,124,124,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
151,680,219-054,6/4/1988,1988,WGGU,N,W,,548,,1096,1096,Present,1,Largest TUPU colony in Oregon,2,Unknown,Betty L. Depee,12/5/2000,,
152,680,219-054,6/4/1988,1988,COMU,B,W,25644,,,42825,42825,Present,2,"12,000 birds counted on the water.",1.67,Unknown,Betty L. Depee,12/5/2000,,
153,680,219-055,6/4/1988,1988,BRAC,N,W,,225,,450,450,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
154,680,219-055,6/4/1988,1988,WGGU,N,W,,69,,138,138,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
155,680,219-055,6/4/1988,1988,COMU,B,W,21670,,,36189,36189,Present,2,,1.67,Unknown,Betty L. Depee,12/5/2000,,
156,680,219-055,6/4/1988,1988,BLOY,N,W,,1,,,X,Present,3,,2,Unknown,Betty L. Depee,12/5/2000,,
157,680,219-043,6/4/1988,1988,BRAC,N,W,,34,,68,68,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
158,680,219-043,6/4/1988,1988,WGGU,N,W,,20,,40,40,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
159,680,219-045,6/4/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
160,680,219-045,6/4/1988,1988,COMU,B,W,6645,,,11097,11097,Present,2,,1.67,Unknown,Betty L. Depee,12/5/2000,,
161,680,219-056,6/4/1988,1988,PECO,N,W,,3,,6,6,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
162,680,219-056,6/4/1988,1988,BRAC,N,W,,134,,268,268,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
163,680,219-056,6/4/1988,1988,WGGU,N,W,,128,,256,256,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
164,680,219-056,6/4/1988,1988,COMU,B,W,72167,,,120519,120519,Present,2,,1.67,Unknown,Betty L. Depee,12/5/2000,,
165,680,219-063,6/4/1988,1988,DCCO,N,W,,281,,562,562,Present,1,,2,Unknown,Betty L. Depee,12/5/2000,,
166,681,219-043,6/4/1988,1988,PIGU,B,W,10,,,10,10,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
167,689,219-049,6/6/1988,1988,WGGU,N,W,,17,,34,34,Present,1,,2,NA,Betty L. Depee,12/5/2000,,
168,691,219-044,6/6/1988,1988,PECO,N,W,,2,,4,4,Present,1,,2,NA,Betty L. Depee,12/5/2000,,
169,691,219-044,6/6/1988,1988,PIGU,B,W,11,,,11,11,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
170,691,219-044,6/6/1988,1988,TUPU,B,W,1,,,1,1,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
171,691,219-058,6/6/1988,1988,PIGU,B,W,10,,,10,10,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
172,691,219-058,6/6/1988,1988,TUPU,B,W,5,,,5,5,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
173,691,219-043.4,6/6/1988,1988,WGGU,N,W,,3,,6,6,Present,1,,2,NA,Betty L. Depee,12/5/2000,,
174,691,219-043.4,6/6/1988,1988,PIGU,B,W,8,,,8,8,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
175,691,219-060.1,6/6/1988,1988,WGGU,N,W,,1,,2,2,Present,1,,2,NA,Betty L. Depee,12/5/2000,,
176,691,219-060.1,6/6/1988,1988,PIGU,B,W,12,,,12,12,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
177,691,219-060.1,6/6/1988,1988,RHAU,O,P,,,,,P,Probable,4,Saw 1 RHAU flying into cove.,L,NA,Betty L. Depee,12/5/2000,,
178,691,219-061,6/6/1988,1988,PECO,N,W,,3,,6,6,Present,1,,2,NA,Betty L. Depee,12/5/2000,,
179,691,219-062,6/6/1988,1988,PIGU,B,W,11,,,11,11,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
180,691,219-048,6/6/1988,1988,WGGU,N,W,,16,,32,32,Present,1,,2,NA,Betty L. Depee,12/5/2000,,
181,691,219-048,6/6/1988,1988,COMU,B,W,20,,,33,33,Present,2,,1.67,NA,Betty L. Depee,12/5/2000,,
182,691,219-048,6/6/1988,1988,PIGU,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
183,691,219-048,6/6/1988,1988,BLOY,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
184,691,219-049,6/6/1988,1988,COMU,B,W,5,,,8,8,Present,2,,1.67,NA,Betty L. Depee,12/5/2000,,
185,691,219-049,6/6/1988,1988,PIGU,B,W,2,,,2,2,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
186,691,219-050,6/6/1988,1988,WGGU,N,W,,4,,8,8,Present,1,,2,NA,Betty L. Depee,12/5/2000,,
187,691,219-050,6/6/1988,1988,COMU,B,W,70,,,117,117,Present,2,,1.67,NA,Betty L. Depee,12/5/2000,,
188,691,219-050,6/6/1988,1988,PIGU,B,W,13,,,13,13,Present,3,,L,NA,Betty L. Depee,12/5/2000,,
